"id_dataset","full_text","text_bersih","hasil_sentistrength","label_sentistrength","class"
"56","""@nak_Negeri Bersyukur bgt kartu sakti nya.. Adek adek gw dpt kip kip kuliah ngebantu bgt kuliah gratis + dpt uang saku 5 5+5 persemester.. Gw sbagai fresh graduate sngst kebantu dgn kartu prakerja dpt sertifikat keahlian dpt duit lg..Gitu gw wisuda lgsung dpt kerja perushaan berkat sertif""",,,,
"57","""@royalegembox Hai Kak @royalegembox maaf atas kendalanya ya Kak. Jika penggantian kartu debit BNI Prakerja melalui BNI DigiCS mengalami kendala (1/2)""",,,,
"58","""mana jatah kartu prakerjaku dikorup paman sendiri lagi. dzolim banget tiba-tiba NIK ku di prakerja udah terdaftar padahal aku sama sekali gapernah daftar prakerja. astaghfirullah 2 4 juta yang seharusnya jadi punyaku dimakan orang lain.""",,,,
"59","""@BNI Sore min saya mau ganti kartu atm bni prakerja expired di mesin digics kok tidak bisa ya? Apa harus ke kantor cabang?""",,,,
"60","""@vanc1Bozz Dulu kalo gw dukung Rezim pasti gak kan masalah pas Harga2 Sembako TDL atau BBM pada naik. Pertalite di hapus juga gak masalah karena aku tetap bahagia dapet Subsidi khusus pemuja &amp	 pembela Dinasti Jokowi. Gak kerja aja tetep gampang belanja pake kartu prakerja. Pokoke gaassz.!""",,,,
"61","""Pendaftaran Ditutup Simak Tahapan Penting setelah Lolos Seleksi Kartu Prakerja Gelombang 67 https://t.co/SXpq7Ecbvc""",,,,
"62","""Pendaftaran Ditutup Simak Tahapan Penting setelah Lolos Seleksi Kartu Prakerja Gelombang 67 https://t.co/DwGlwGbhK8""",,,,
"63","""Eh sumpah apasii lg bikin kartu prakerja tb tb disuruh simulasi to masa""",,,,
"64","""@jokowi Dokter gak perlu kuliah kan pak. Cukup nonton video kartu prakerja""",,,,
"65","""4.2 Juta Menanti! Yuk Kuasai Skill Baru dan Raih Cuan Lewat Kartu Prakerja Gelombang 67! https://t.co/MeYb7LHbmN""",,,,
"66","""@RikeSants Bisa... Asalkan ojol dihitung Penerima kartu prakerja dihitung Hehe... Lucunya prakerja waktu itu... Temenku manager purchasing resto besar dpt kartu prakerja Hehehe""",,,,
"67","""Kartu Prakerja Gelombang 67 Ditutup Hari Ini Cara Daftar Akun Disini: Dapatkan Saldo DANA Gratis https://t.co/noOUQrvVg3 #KartuPrakerja #Prakerja #Gelombang67 #pikiranrakyatkuningan""",,,,
"68","""Kartu Prakerja Gelombang 67 Kapan Ditutup? Cek Persyaratan hingga Cara Mendaftarnya: Yuk Segera! https://t.co/vwBu3iPhuY #KartuPrakerja #Gelombang67 #Prakerja #pikiranrakyatkuningan""",,,,
"69","""Buruan Daftar Gelombang 67 Program Kartu Prakerja Ditutup Hari Ini 6 Mei 2024 https://t.co/joiCHHljbX #Bisnis""",,,,
"70","""Kartu Prakerja 2024 Cair Berapa Kali? Simak Jadwal Pencairan dan Cara Daftar yang Anti Susah! ! https://t.co/d542Jnq2su""",,,,
"71","""Kartu Prakerja 2024 Cair Berapa Kali? Simak Jadwal Pencairan dan Cara Daftar yang Anti Susah! https://t.co/d542Jnq2su""",,,,
"72","""SELAMAT! LOLOS SELEKSI KARTU PRAKERJA GELOMBANG 66? SEGERA BELI PELATIHAN DAN TINGKATKAN SKILL KAMU! https://t.co/snqexkOXbF""",,,,
"73","""&lt	strong&gt	KARTU PRAKERJA GELOMBANG 67 DIBUKA! YUK DAFTAR DAN TINGKATKAN SKILL!&lt	/strong&gt	 https://t.co/zhSn8pK7HU""",,,,
"74","""Pendaftaran Kartu Prakerja gelombang 67 akan ditutup hari ini Senin 6 Mei 2024 pukul 23.59. Simak cara daftarnya di sini. https://t.co/dSWuKL7oF6""",,,,
"75","""Terakhir Hari Ini! Pendaftaran Kartu Prakerja Gelombang 67 Ditutup Pukul 23.59 WIB Jangan Sampai Terlewat! https://t.co/fT6lsuCwl2""",,,,
"76","""Buruan! Kartu Prakerja Gelombang 67 Ditutup Hari Ini Cek Dashboard untuk Daftar https://t.co/4pTQztNnQ8""",,,,
"77","""Notifikasi hasil seleksi akan tampil di dashboard Kartu Prakerja. Sobat bisa cek secara berkala. Sobat prakerja yuk daftarkan dirimu segera di platform pakerja dan ikut kelas kami!! https://t.co/00MD4xVVm9""",,,,
"78","""Halo Peserta Kartu Prakerja Gelombang 67 Akan Ditutup pada hari Senin Tanggal 6 Mei 2024 pukul 23:59 WIB !! ã…¤ã…¤ ã…¤ã…¤ã…¤ã…¤ ã…¤ã…¤ Bagi Sobat Prakerja yang sudah memiliki akun Prakerja dan sudah melakukan update data diri segera klik tombol Gabung yang ada di dashboard ya! https://t.co/oyFPzV7KnT""",,,,
"79","""Notifikasi hasil seleksi akan tampil di dashboard Kartu Prakerja. Sobat bisa cek secara berkala. Sobat prakerja yuk daftarkan dirimu segera di platform pakerja dan ikut kelas kami!! https://t.co/Uk4QaA3Ct8""",,,,
